Fiscal Year,Month Ending,Licensee,Wagers,Patron Winnings,Cancelled Wagers,Online Casino Gaming Win/(Loss),Promotional Coupons or Credits Wagered (3),Promotional Deduction (4),Total Gross Gaming Revenue,Payment (5),Net Winnings,Promotional Impact,Return Percentage
2021/22,2021-10-31,"Mohegan Digital, LLC",123299057,119200731,57747,4040579,2178865,1010145,3030434,545478,4040579,1168720,96.67610920982145
2021/22,2021-10-31,"MPI Master Wagering License CT, LLC",189562887,184748397,574,4813916,1246418,1203479,3610437,649879,4813916,42939,97.4602148784535
2021/22,2021-11-30,"Mohegan Digital, LLC",275235600,267352697,20951,7861951,1941852,1941852,5920099,1065618,7861952,0,97.13594353346733
2021/22,2021-11-30,"MPI Master Wagering License CT, LLC",416047836,405355891,116812,10575132,5973768,2643783,7931349,1427642,10575133,3329985,97.4301164253622
2021/22,2021-12-31,"Mohegan Digital, LLC",290977291,282738367,669,8238256,1101883,1101883,7136373,1284547,8238255,0,97.16853367777075
2021/22,2021-12-31,MPTN On-Reservation,114528,111365,0,3162,538,538,2624,472,3163,0,97.2382299525007
2021/22,2021-12-31,"MPI Master Wagering License CT, LLC",523770709,511419680,294544,12056485,2856561,2856561,9199924,1655986,12056485,0,97.64190154436452
2021/22,2022-01-31,"Mohegan Digital, LLC",277089825,268319726,7369,8762730,1065100,1065100,7697631,1385574,8762730,0,96.83492564189248
2021/22,2022-01-31,"MPI Master Wagering License CT, LLC",502522740,488634245,208888,13679607,2567892,2567892,11111715,2000109,13679607,0,97.23624546821503
2021/22,2022-01-31,MPTN On-Reservation,440462,409204,0,31257,7069,7069,24188,4354,31258,0,92.90336056231865
2021/22,2022-02-28,"Mohegan Digital, LLC",249479067,241646638,3303,7829126,1008038,1008038,6821088,1227796,7829126,0,96.86048649524571
2021/22,2022-02-28,"MPI Master Wagering License CT, LLC",493591525,479770691,113989,13706846,17172530,3426712,10280135,1850424,13706845,13745818,97.19994503552304
2021/22,2022-02-28,MPTN On-Reservation,824365,777412,0,46953,9435,9435,37518,6753,46953,0,94.304343343058
2021/22,2022-03-31,"Mohegan Digital, LLC",280620004,271630755,6584,8982665,903992,903992,8078673,1454161,8982665,0,96.79664711286941
2021/22,2022-03-31,"MPI Master Wagering License CT, LLC",537888829,524103453,129356,13656020,32206562,3414005,10242015,1843563,13656020,28792557,97.43713286895571
2021/22,2022-03-31,MPTN On-Reservation,2398475,2399449,0,-974,11037,0,-974,0,-974,11037,100.04060913705584
2021/22,2022-04-30,"Mohegan Digital, LLC",283107499,273420203,3628,9683669,1021521,1021521,8662147,1559187,9683668,0,96.5782269864918
2021/22,2022-04-30,"MPI Master Wagering License CT, LLC",475988357,462730802,210022,13047534,17431335,3261883,9785650,1761417,13047533,14169452,97.21473124184001
2021/22,2022-04-30,MPTN On-Reservation,1464737,1438677,0,26060,48032,6515,19545,3518,26060,41517,98.22084101104839
2021/22,2022-05-31,"Mohegan Digital, LLC",275818534,267451923,3887,8362724,1205520,1205520,7157204,1288297,8362724,0,96.96662480266826
2021/22,2022-05-31,"MPI Master Wagering License CT, LLC",496904669,484267401,146970,12490298,29968316,3122574,9367723,1686190,12490298,26845742,97.45680232278116
2021/22,2022-05-31,MPTN On-Reservation,710829,684549,10,26270,22614,6568,19703,3546,26270,16046,96.30290829439991
2021/22,2022-05-31,Mohegan Tribe On-Reservation,716607,681306,0,35301,4130,4130,31171,5611,35301,0,95.07386894071645
2021/22,2022-06-30,Mohegan Tribe On-Reservation,379023,335505,5,43513,6390,6390,37123,6682,43513,0,88.518374874348
2021/22,2022-06-30,"Mohegan Digital, LLC",254393582,246515856,11645,7866081,1397441,1397441,6468640,1164355,7866081,0,96.9033314684802
2021/22,2022-06-30,"MPI Master Wagering License CT, LLC",420056291,406814933,164727,13076631,12372142,3269158,9807473,1765345,13076631,9102984,96.84771820260633
2021/22,2022-06-30,MPTN On-Reservation,671843,685886,3,-14046,29041,0,-14046,0,-14046,29041,102.09022048305928
2022/23,2022-07-31,"Mohegan Digital, LLC",265653958,257512736,18833,8122389,979062,979062,7143327,1285799,8122389,0,96.9354034619729
2022/23,2022-07-31,"MPI Master Wagering License CT, LLC",439413278,426592328,153909,12667042,17931564,3166760,9500281,1710051,12667041,14764804,97.08225703639297
2022/23,2022-07-31,MPTN On-Reservation,1155448,1140657,2,14789,72417,3697,11092,1997,14789,68720,98.71989046672806
2022/23,2022-07-31,Mohegan Tribe On-Reservation,482704,481729,7,968,7672,242,726,131,968,7430,99.79801286088369
2022/23,2022-08-31,"Mohegan Digital, LLC",398913099,390049865,20267,8842966,1074484,1074484,7768482,1398327,8842967,0,97.77815418390159
2022/23,2022-08-31,"MPI Master Wagering License CT, LLC",449551138,436301993,166263,13082882,14217583,3270720,9812161,1766189,13082882,10946863,97.05280581449668
2022/23,2022-08-31,MPTN On-Reservation,2960102,2788031,0,172070,26909,26909,145161,26129,172071,0,94.18699085369356
